order_id,date,region,category,product,units,unit_price,discount_pct,revenue
ORD-100000,2025-01-01,North,Electronics,Headphones,4,60,0,240.0
ORD-100001,2025-01-02,North,Electronics,Monitor,1,15,0,15.0
ORD-100002,2025-01-03,South,Home,Mixer,9,60,15,459.0
ORD-100003,2025-01-04,West,Home,Cookware,10,90,0,900.0
ORD-100004,2025-01-05,South,Grocery,Snacks,5,40,0,200.0
ORD-100005,2025-01-06,East,Electronics,Laptop,7,25,0,175.0
ORD-100006,2025-01-07,East,Apparel,Jacket,8,25,5,190.0
ORD-100007,2025-01-08,North,Apparel,Shoes,10,60,15,510.0
ORD-100008,2025-01-09,North,Electronics,Phone,5,25,0,125.0
ORD-100009,2025-01-10,North,Grocery,Snacks,8,120,0,960.0
ORD-100010,2025-01-11,East,Apparel,Jeans,5,25,10,112.5
ORD-100011,2025-01-12,South,Home,Vacuum,8,180,0,1440.0
ORD-100012,2025-01-13,South,Apparel,Jacket,4,15,0,60.0
ORD-100013,2025-01-14,West,Apparel,Jacket,4,120,0,480.0
ORD-100014,2025-01-15,West,Grocery,Cereal,3,90,0,270.0
ORD-100015,2025-01-16,South,Apparel,Shirt,10,180,0,1800.0
ORD-100016,2025-01-17,South,Home,Cookware,2,15,0,30.0
ORD-100017,2025-01-18,South,Home,Cookware,10,25,5,237.5
ORD-100018,2025-01-19,West,Grocery,Snacks,9,15,15,114.75
ORD-100019,2025-01-20,North,Apparel,Shoes,2,90,5,171.0
ORD-100020,2025-01-21,South,Grocery,Coffee,5,40,10,180.0
ORD-100021,2025-01-22,North,Apparel,Jeans,3,120,0,360.0
ORD-100022,2025-01-23,North,Apparel,Shirt,1,25,0,25.0
ORD-100023,2025-01-24,East,Home,Mixer,4,25,0,100.0
ORD-100024,2025-01-25,West,Electronics,Phone,3,250,10,675.0
ORD-100025,2025-01-26,South,Apparel,Shirt,4,60,15,204.0
ORD-100026,2025-01-27,East,Grocery,Snacks,8,250,0,2000.0
ORD-100027,2025-01-28,South,Home,Mixer,6,15,10,81.0
ORD-100028,2025-01-29,South,Home,Mixer,2,15,0,30.0
ORD-100029,2025-01-30,North,Electronics,Headphones,2,60,0,120.0
ORD-100030,2025-01-31,West,Home,Vacuum,10,250,0,2500.0
ORD-100031,2025-02-01,West,Grocery,Tea,2,25,15,42.5
ORD-100032,2025-02-02,West,Apparel,Shirt,7,250,15,1487.5
ORD-100033,2025-02-03,North,Electronics,Laptop,7,120,0,840.0
